timestamp,bytes_received
2025-11-26T12:35:20.959757Z,428
2025-11-26T12:35:21.021650Z,492
2025-11-26T12:35:21.091543Z,556
2025-11-26T12:35:21.207547Z,620
2025-11-26T12:35:21.269259Z,684
2025-11-26T12:35:21.330946Z,727
2025-11-26T12:35:21.392952Z,748
2025-11-26T12:35:21.454796Z,812
2025-11-26T12:35:21.580999Z,876
2025-11-26T12:35:21.643898Z,940
2025-11-26T12:35:21.706422Z,983
2025-11-26T12:35:21.768764Z,1004
2025-11-26T12:35:21.831561Z,1068
2025-11-26T12:35:21.956013Z,1132
2025-11-26T12:35:22.018498Z,1196
2025-11-26T12:35:22.080368Z,1239
2025-11-26T12:35:22.143338Z,1260
2025-11-26T12:35:22.205498Z,1324
2025-11-26T12:35:22.328756Z,1388
2025-11-26T12:35:22.391452Z,1452
2025-11-26T12:35:22.453793Z,1495
2025-11-26T12:35:22.514626Z,1516
2025-11-26T12:35:22.576228Z,1580
2025-11-26T12:35:22.701119Z,1644
2025-11-26T12:35:22.762890Z,1708
2025-11-26T12:35:22.824784Z,1751
2025-11-26T12:35:22.886737Z,1772
2025-11-26T12:35:22.949669Z,1836
2025-11-26T12:35:23.073008Z,1900
2025-11-26T12:35:23.136023Z,1964
2025-11-26T12:35:23.198427Z,2007
2025-11-26T12:35:23.260702Z,2028
2025-11-26T12:35:23.323174Z,2092
2025-11-26T12:35:23.445760Z,2150
2025-11-26T12:35:23.508192Z,2156
2025-11-26T12:35:23.570500Z,2220
2025-11-26T12:35:23.632582Z,2263
2025-11-26T12:35:23.694417Z,2284
2025-11-26T12:35:23.756570Z,2348
2025-11-26T12:35:23.880853Z,2412
2025-11-26T12:35:23.944570Z,2476
2025-11-26T12:35:24.008072Z,2519
2025-11-26T12:35:24.069900Z,2540
2025-11-26T12:35:24.132433Z,2604
2025-11-26T12:35:24.255184Z,2668
2025-11-26T12:35:24.317548Z,2732
2025-11-26T12:35:24.379565Z,2775
2025-11-26T12:35:24.442004Z,2796
2025-11-26T12:35:24.504582Z,2860
2025-11-26T12:35:24.628032Z,2924
2025-11-26T12:35:24.690004Z,2988
2025-11-26T12:35:24.751226Z,3031
2025-11-26T12:35:24.812883Z,3052
2025-11-26T12:35:24.876662Z,3116
2025-11-26T12:35:25.001559Z,3180
2025-11-26T12:35:25.063046Z,3244
2025-11-26T12:35:25.125883Z,3287
2025-11-26T12:35:25.188467Z,3308
2025-11-26T12:35:25.249587Z,3372
2025-11-26T12:35:25.374558Z,3436
2025-11-26T12:35:25.436229Z,3500
2025-11-26T12:35:25.496801Z,3543
2025-11-26T12:35:25.558380Z,3564
2025-11-26T12:35:25.620880Z,3628
2025-11-26T12:35:25.745965Z,3692
2025-11-26T12:35:25.807616Z,3756
2025-11-26T12:35:25.871168Z,3799
2025-11-26T12:35:25.933391Z,3820
2025-11-26T12:35:25.996930Z,3884
2025-11-26T12:35:26.123761Z,3948
2025-11-26T12:35:26.187389Z,4012
2025-11-26T12:35:26.247731Z,4055
2025-11-26T12:35:26.309593Z,4076
2025-11-26T12:35:26.372405Z,4140
