timestamp,bytes_received
2025-11-26T09:57:40.038130Z,62
2025-11-26T09:57:40.101215Z,105
2025-11-26T09:57:40.163721Z,127
2025-11-26T09:57:40.226949Z,190
2025-11-26T09:57:40.288450Z,254
2025-11-26T09:57:40.351086Z,257
2025-11-26T09:57:40.413869Z,318
2025-11-26T09:57:40.475555Z,361
2025-11-26T09:57:40.537424Z,385
2025-11-26T09:57:40.599836Z,446
2025-11-26T09:57:40.661487Z,510
2025-11-26T09:57:40.724264Z,517
2025-11-26T09:57:40.788770Z,574
2025-11-26T09:57:40.850120Z,617
2025-11-26T09:57:40.910732Z,647
2025-11-26T09:57:40.973999Z,704
2025-11-26T09:57:41.037131Z,766
2025-11-26T09:57:41.099733Z,781
2025-11-26T09:57:41.161849Z,836
2025-11-26T09:57:41.225224Z,894
2025-11-26T09:57:41.288408Z,958
2025-11-26T09:57:41.349986Z,968
2025-11-26T09:57:41.412307Z,1022
2025-11-26T09:57:41.475240Z,1044
2025-11-26T09:57:41.537011Z,1099
2025-11-26T09:57:41.598750Z,1154
2025-11-26T09:57:41.661991Z,1214
2025-11-26T09:57:41.725872Z,1233
2025-11-26T09:57:41.787453Z,1278
2025-11-26T09:57:41.850505Z,1304
2025-11-26T09:57:41.911342Z,1359
2025-11-26T09:57:41.972683Z,1412
2025-11-26T09:57:42.034601Z,1470
2025-11-26T09:57:42.096888Z,1488
2025-11-26T09:57:42.159652Z,1534
2025-11-26T09:57:42.221730Z,1561
2025-11-26T09:57:42.285012Z,1620
2025-11-26T09:57:42.348000Z,1677
2025-11-26T09:57:42.409301Z,1726
2025-11-26T09:57:42.472479Z,1749
2025-11-26T09:57:42.535243Z,1790
2025-11-26T09:57:42.597728Z,1827
2025-11-26T09:57:42.659448Z,1880
2025-11-26T09:57:42.721217Z,1935
2025-11-26T09:57:42.783422Z,1982
2025-11-26T09:57:42.846093Z,2010
2025-11-26T09:57:42.907963Z,2046
2025-11-26T09:57:42.969268Z,2081
2025-11-26T09:57:43.030840Z,2134
2025-11-26T09:57:43.093608Z,2191
2025-11-26T09:57:43.155884Z,2238
2025-11-26T09:57:43.217905Z,2267
2025-11-26T09:57:43.281058Z,2302
2025-11-26T09:57:43.343728Z,2344
2025-11-26T09:57:43.407237Z,2401
2025-11-26T09:57:43.468670Z,2454
2025-11-26T09:57:43.531074Z,2494
2025-11-26T09:57:43.594157Z,2530
2025-11-26T09:57:43.655709Z,2583
2025-11-26T09:57:43.717795Z,2640
2025-11-26T09:57:43.780011Z,2665
2025-11-26T09:57:43.842292Z,2711
2025-11-26T09:57:43.905067Z,2768
2025-11-26T09:57:43.967047Z,2814
2025-11-26T09:57:44.031201Z,2839
2025-11-26T09:57:44.090901Z,2894
2025-11-26T09:57:44.154158Z,2951
2025-11-26T09:57:44.217216Z,3006
2025-11-26T09:57:44.280357Z,3029
2025-11-26T09:57:44.342574Z,3070
2025-11-26T09:57:44.404674Z,3102
2025-11-26T09:57:44.466435Z,3157
2025-11-26T09:57:44.528628Z,3212
2025-11-26T09:57:44.591517Z,3262
2025-11-26T09:57:44.652985Z,3287
2025-11-26T09:57:44.715548Z,3326
2025-11-26T09:57:44.778605Z,3363
2025-11-26T09:57:44.840729Z,3420
2025-11-26T09:57:44.902631Z,3437
2025-11-26T09:57:44.965378Z,3494
2025-11-26T09:57:45.026717Z,3546
2025-11-26T09:57:45.087986Z,3582
2025-11-26T09:57:45.150634Z,3618
2025-11-26T09:57:45.213595Z,3675
2025-11-26T09:57:45.276660Z,3696
2025-11-26T09:57:45.339233Z,3753
2025-11-26T09:57:45.400704Z,3807
2025-11-26T09:57:45.462328Z,3838
2025-11-26T09:57:45.525722Z,3883
2025-11-26T09:57:45.587671Z,3936
2025-11-26T09:57:45.651724Z,3959
2025-11-26T09:57:45.712855Z,4014
2025-11-26T09:57:45.773723Z,4067
2025-11-26T09:57:45.835329Z,4094
