timestamp,bytes_received
2025-11-26T11:30:06.756072Z,71
2025-11-26T11:30:06.819026Z,135
2025-11-26T11:30:06.881546Z,199
2025-11-26T11:30:07.005288Z,263
2025-11-26T11:30:07.066688Z,327
2025-11-26T11:30:07.128219Z,370
2025-11-26T11:30:07.188535Z,391
2025-11-26T11:30:07.250879Z,455
2025-11-26T11:30:07.376158Z,519
2025-11-26T11:30:07.503838Z,583
2025-11-26T11:30:07.564014Z,647
2025-11-26T11:30:07.625857Z,711
2025-11-26T11:30:07.750533Z,775
2025-11-26T11:30:07.812151Z,839
2025-11-26T11:30:07.873755Z,882
2025-11-26T11:30:07.937208Z,903
2025-11-26T11:30:07.999421Z,967
2025-11-26T11:30:08.122063Z,1031
2025-11-26T11:30:08.185380Z,1095
2025-11-26T11:30:08.246780Z,1138
2025-11-26T11:30:08.310580Z,1159
2025-11-26T11:30:08.372918Z,1223
2025-11-26T11:30:08.498426Z,1287
2025-11-26T11:30:08.562055Z,1351
2025-11-26T11:30:08.622903Z,1394
2025-11-26T11:30:08.684506Z,1415
2025-11-26T11:30:08.747504Z,1479
2025-11-26T11:30:08.871208Z,1543
2025-11-26T11:30:08.934140Z,1607
2025-11-26T11:30:08.995838Z,1650
2025-11-26T11:30:09.056958Z,1671
2025-11-26T11:30:09.117848Z,1735
2025-11-26T11:30:09.243227Z,1799
2025-11-26T11:30:09.306428Z,1863
2025-11-26T11:30:09.368780Z,1906
2025-11-26T11:30:09.431073Z,1927
2025-11-26T11:30:09.493851Z,1991
2025-11-26T11:30:09.620109Z,2055
2025-11-26T11:30:09.682982Z,2119
2025-11-26T11:30:09.745373Z,2162
2025-11-26T11:30:09.809045Z,2183
2025-11-26T11:30:09.871960Z,2247
2025-11-26T11:30:09.934910Z,2248
2025-11-26T11:30:09.997723Z,2311
2025-11-26T11:30:10.061097Z,2375
2025-11-26T11:30:10.123429Z,2418
2025-11-26T11:30:10.185570Z,2439
2025-11-26T11:30:10.247033Z,2503
2025-11-26T11:30:10.309961Z,2567
2025-11-26T11:30:10.434748Z,2631
2025-11-26T11:30:10.496890Z,2695
2025-11-26T11:30:10.559535Z,2759
2025-11-26T11:30:10.683266Z,2823
2025-11-26T11:30:10.746015Z,2887
2025-11-26T11:30:10.808359Z,2930
2025-11-26T11:30:10.869865Z,2951
2025-11-26T11:30:10.932348Z,3015
2025-11-26T11:30:11.057889Z,3079
2025-11-26T11:30:11.120550Z,3143
2025-11-26T11:30:11.182542Z,3186
2025-11-26T11:30:11.245873Z,3207
2025-11-26T11:30:11.308409Z,3271
2025-11-26T11:30:11.370507Z,3335
2025-11-26T11:30:11.495617Z,3399
2025-11-26T11:30:11.557329Z,3442
2025-11-26T11:30:11.619748Z,3463
2025-11-26T11:30:11.680883Z,3527
2025-11-26T11:30:11.743170Z,3591
2025-11-26T11:30:11.865946Z,3655
2025-11-26T11:30:11.927964Z,3698
2025-11-26T11:30:11.991080Z,3719
2025-11-26T11:30:12.053031Z,3783
2025-11-26T11:30:12.115767Z,3847
2025-11-26T11:30:12.240293Z,3911
2025-11-26T11:30:12.303891Z,3954
2025-11-26T11:30:12.364907Z,3975
2025-11-26T11:30:12.428024Z,4039
2025-11-26T11:30:12.490865Z,4103
