timestamp,bytes_received
2025-11-26T09:59:42.849168Z,61
2025-11-26T09:59:42.911449Z,125
2025-11-26T09:59:42.974507Z,189
2025-11-26T09:59:43.098146Z,253
2025-11-26T09:59:43.159858Z,317
2025-11-26T09:59:43.221299Z,362
2025-11-26T09:59:43.283266Z,381
2025-11-26T09:59:43.346169Z,445
2025-11-26T09:59:43.470499Z,509
2025-11-26T09:59:43.536301Z,573
2025-11-26T09:59:43.595949Z,618
2025-11-26T09:59:43.658569Z,637
2025-11-26T09:59:43.721158Z,701
2025-11-26T09:59:43.845450Z,765
2025-11-26T09:59:43.908744Z,829
2025-11-26T09:59:43.971045Z,874
2025-11-26T09:59:44.033312Z,893
2025-11-26T09:59:44.095039Z,957
2025-11-26T09:59:44.219633Z,1021
2025-11-26T09:59:44.281294Z,1085
2025-11-26T09:59:44.343620Z,1130
2025-11-26T09:59:44.405926Z,1149
2025-11-26T09:59:44.467492Z,1213
2025-11-26T09:59:44.592992Z,1277
2025-11-26T09:59:44.654954Z,1280
2025-11-26T09:59:44.717616Z,1341
2025-11-26T09:59:44.780841Z,1405
2025-11-26T09:59:44.843595Z,1469
2025-11-26T09:59:44.968376Z,1533
2025-11-26T09:59:45.030142Z,1536
2025-11-26T09:59:45.091914Z,1597
2025-11-26T09:59:45.153480Z,1661
2025-11-26T09:59:45.214713Z,1725
2025-11-26T09:59:45.338945Z,1789
2025-11-26T09:59:45.402014Z,1793
2025-11-26T09:59:45.464653Z,1853
2025-11-26T09:59:45.526872Z,1917
2025-11-26T09:59:45.588957Z,1981
2025-11-26T09:59:45.714119Z,2045
2025-11-26T09:59:45.774893Z,2049
2025-11-26T09:59:45.835967Z,2109
2025-11-26T09:59:45.898411Z,2173
2025-11-26T09:59:45.961545Z,2237
2025-11-26T09:59:46.086304Z,2301
2025-11-26T09:59:46.147964Z,2308
2025-11-26T09:59:46.210841Z,2365
2025-11-26T09:59:46.272350Z,2429
2025-11-26T09:59:46.336064Z,2493
2025-11-26T09:59:46.398530Z,2495
2025-11-26T09:59:46.460920Z,2557
2025-11-26T09:59:46.522571Z,2568
2025-11-26T09:59:46.584863Z,2623
2025-11-26T09:59:46.646678Z,2685
2025-11-26T09:59:46.708217Z,2749
2025-11-26T09:59:46.770396Z,2751
2025-11-26T09:59:46.834487Z,2813
2025-11-26T09:59:46.896669Z,2829
2025-11-26T09:59:46.958409Z,2884
2025-11-26T09:59:47.020198Z,2941
2025-11-26T09:59:47.081607Z,3005
2025-11-26T09:59:47.142623Z,3007
2025-11-26T09:59:47.204500Z,3069
2025-11-26T09:59:47.267310Z,3081
2025-11-26T09:59:47.329519Z,3136
2025-11-26T09:59:47.392585Z,3197
2025-11-26T09:59:47.456383Z,3261
2025-11-26T09:59:47.520299Z,3271
2025-11-26T09:59:47.584190Z,3328
2025-11-26T09:59:47.646058Z,3349
2025-11-26T09:59:47.708037Z,3402
2025-11-26T09:59:47.770089Z,3459
2025-11-26T09:59:47.831328Z,3517
2025-11-26T09:59:47.893358Z,3533
2025-11-26T09:59:47.956962Z,3584
2025-11-26T09:59:48.019293Z,3611
2025-11-26T09:59:48.081262Z,3666
2025-11-26T09:59:48.143533Z,3690
2025-11-26T09:59:48.206291Z,3741
2025-11-26T09:59:48.267285Z,3793
2025-11-26T09:59:48.330457Z,3840
2025-11-26T09:59:48.391282Z,3868
2025-11-26T09:59:48.455005Z,3925
2025-11-26T09:59:48.516907Z,3980
2025-11-26T09:59:48.578785Z,4029
2025-11-26T09:59:48.641616Z,4056
2025-11-26T09:59:48.705362Z,4094
