timestamp,bytes_received
2025-11-26T10:53:29.709847Z,62
2025-11-26T10:53:29.773252Z,105
2025-11-26T10:53:29.836911Z,128
2025-11-26T10:53:29.900656Z,190
2025-11-26T10:53:29.962661Z,254
2025-11-26T10:53:30.025266Z,263
2025-11-26T10:53:30.086801Z,318
2025-11-26T10:53:30.148632Z,361
2025-11-26T10:53:30.210637Z,389
2025-11-26T10:53:30.271849Z,446
2025-11-26T10:53:30.333946Z,510
2025-11-26T10:53:30.396069Z,516
2025-11-26T10:53:30.460147Z,575
2025-11-26T10:53:30.521711Z,617
2025-11-26T10:53:30.585263Z,653
2025-11-26T10:53:30.646762Z,706
2025-11-26T10:53:30.708721Z,766
2025-11-26T10:53:30.770581Z,780
2025-11-26T10:53:30.832517Z,835
2025-11-26T10:53:30.894279Z,894
2025-11-26T10:53:30.957942Z,958
2025-11-26T10:53:31.019808Z,965
2025-11-26T10:53:31.082432Z,1022
2025-11-26T10:53:31.144607Z,1040
2025-11-26T10:53:31.206895Z,1095
2025-11-26T10:53:31.269037Z,1152
2025-11-26T10:53:31.329980Z,1214
2025-11-26T10:53:31.391152Z,1219
2025-11-26T10:53:31.452791Z,1278
2025-11-26T10:53:31.513973Z,1342
2025-11-26T10:53:31.577557Z,1406
2025-11-26T10:53:31.638911Z,1470
2025-11-26T10:53:31.762807Z,1534
2025-11-26T10:53:31.825019Z,1598
2025-11-26T10:53:31.887374Z,1641
2025-11-26T10:53:31.949543Z,1662
2025-11-26T10:53:32.012293Z,1726
2025-11-26T10:53:32.136966Z,1790
2025-11-26T10:53:32.198540Z,1854
2025-11-26T10:53:32.261256Z,1897
2025-11-26T10:53:32.323438Z,1918
2025-11-26T10:53:32.384898Z,1982
2025-11-26T10:53:32.510099Z,2046
2025-11-26T10:53:32.571349Z,2110
2025-11-26T10:53:32.633916Z,2153
2025-11-26T10:53:32.695142Z,2174
2025-11-26T10:53:32.756969Z,2238
2025-11-26T10:53:32.881711Z,2302
2025-11-26T10:53:32.943288Z,2366
2025-11-26T10:53:33.005690Z,2409
2025-11-26T10:53:33.067270Z,2430
2025-11-26T10:53:33.130011Z,2494
2025-11-26T10:53:33.254579Z,2558
2025-11-26T10:53:33.317945Z,2622
2025-11-26T10:53:33.380368Z,2665
2025-11-26T10:53:33.443127Z,2686
2025-11-26T10:53:33.505035Z,2750
2025-11-26T10:53:33.567699Z,2814
2025-11-26T10:53:33.691979Z,2878
2025-11-26T10:53:33.753060Z,2942
2025-11-26T10:53:33.815470Z,3006
2025-11-26T10:53:33.939697Z,3070
2025-11-26T10:53:34.001392Z,3134
2025-11-26T10:53:34.065025Z,3177
2025-11-26T10:53:34.127370Z,3198
2025-11-26T10:53:34.190685Z,3262
2025-11-26T10:53:34.314243Z,3326
2025-11-26T10:53:34.376754Z,3390
2025-11-26T10:53:34.440149Z,3433
2025-11-26T10:53:34.501644Z,3454
2025-11-26T10:53:34.565735Z,3518
2025-11-26T10:53:34.691465Z,3582
2025-11-26T10:53:34.754313Z,3592
2025-11-26T10:53:34.817471Z,3647
2025-11-26T10:53:34.879110Z,3710
2025-11-26T10:53:34.939739Z,3774
2025-11-26T10:53:35.063212Z,3838
2025-11-26T10:53:35.125750Z,3848
2025-11-26T10:53:35.188343Z,3904
2025-11-26T10:53:35.251572Z,3966
2025-11-26T10:53:35.313234Z,4030
2025-11-26T10:53:35.436689Z,4094
