timestamp,bytes_received
2025-11-26T12:33:58.554385Z,62
2025-11-26T12:33:58.616693Z,126
2025-11-26T12:33:58.678638Z,190
2025-11-26T12:33:58.803968Z,254
2025-11-26T12:33:58.865616Z,318
2025-11-26T12:33:58.928412Z,361
2025-11-26T12:33:58.991992Z,382
2025-11-26T12:33:59.055265Z,446
2025-11-26T12:33:59.179458Z,510
2025-11-26T12:33:59.249950Z,574
2025-11-26T12:33:59.304662Z,617
2025-11-26T12:33:59.367179Z,638
2025-11-26T12:33:59.429657Z,702
2025-11-26T12:33:59.552782Z,766
2025-11-26T12:33:59.615005Z,830
2025-11-26T12:33:59.676703Z,873
2025-11-26T12:33:59.739792Z,894
2025-11-26T12:33:59.802168Z,958
2025-11-26T12:33:59.925963Z,1022
2025-11-26T12:33:59.988142Z,1086
2025-11-26T12:34:00.049376Z,1129
2025-11-26T12:34:00.112623Z,1150
2025-11-26T12:34:00.175017Z,1214
2025-11-26T12:34:00.300932Z,1278
2025-11-26T12:34:00.364437Z,1342
2025-11-26T12:34:00.427682Z,1385
2025-11-26T12:34:00.490238Z,1406
2025-11-26T12:34:00.552449Z,1470
2025-11-26T12:34:00.677483Z,1534
2025-11-26T12:34:00.739279Z,1598
2025-11-26T12:34:00.800539Z,1641
2025-11-26T12:34:00.862815Z,1662
2025-11-26T12:34:00.925210Z,1726
2025-11-26T12:34:01.050387Z,1790
2025-11-26T12:34:01.112853Z,1854
2025-11-26T12:34:01.175218Z,1897
2025-11-26T12:34:01.236396Z,1918
2025-11-26T12:34:01.298428Z,1982
2025-11-26T12:34:01.361786Z,2046
2025-11-26T12:34:01.487470Z,2110
2025-11-26T12:34:01.548880Z,2174
2025-11-26T12:34:01.612285Z,2238
2025-11-26T12:34:01.736478Z,2302
2025-11-26T12:34:01.799664Z,2366
2025-11-26T12:34:01.861481Z,2409
2025-11-26T12:34:01.922945Z,2430
2025-11-26T12:34:01.985372Z,2494
2025-11-26T12:34:02.109494Z,2558
2025-11-26T12:34:02.171300Z,2622
2025-11-26T12:34:02.231993Z,2665
2025-11-26T12:34:02.294074Z,2686
2025-11-26T12:34:02.356555Z,2750
2025-11-26T12:34:02.482038Z,2814
2025-11-26T12:34:02.544094Z,2878
2025-11-26T12:34:02.605741Z,2921
2025-11-26T12:34:02.668240Z,2942
2025-11-26T12:34:02.730241Z,3006
2025-11-26T12:34:02.855258Z,3070
2025-11-26T12:34:02.917592Z,3134
2025-11-26T12:34:02.980525Z,3177
2025-11-26T12:34:03.043082Z,3198
2025-11-26T12:34:03.105779Z,3262
2025-11-26T12:34:03.230412Z,3326
2025-11-26T12:34:03.291406Z,3329
2025-11-26T12:34:03.353969Z,3390
2025-11-26T12:34:03.415411Z,3454
2025-11-26T12:34:03.478083Z,3518
2025-11-26T12:34:03.605409Z,3582
2025-11-26T12:34:03.668412Z,3595
2025-11-26T12:34:03.730141Z,3650
2025-11-26T12:34:03.793455Z,3710
2025-11-26T12:34:03.857222Z,3774
2025-11-26T12:34:03.918320Z,3782
2025-11-26T12:34:03.980021Z,3838
2025-11-26T12:34:04.041538Z,3856
2025-11-26T12:34:04.104100Z,3911
2025-11-26T12:34:04.166828Z,3968
2025-11-26T12:34:04.229613Z,4030
2025-11-26T12:34:04.292359Z,4045
2025-11-26T12:34:04.354970Z,4094
